Video_title,Comment_id,Comment_content,Time,Username,Channel_user,Likes,Photo_thumbnails,Hearted_by_video_publisher
探索最強康文署健身室 I 絕無僅有 - YouTube,Ugx_x8131qTjKXkBky94AaABAg,胡力威 師傅 去咗大埔去康文署做經理🤣🤣,2 個月前 (已編輯),@LeoTang1997,UCxqhelv8ZxvPL2m0OkXpGnw,126,https://yt3.ggpht.com/ytc/APkrFKZnO-biZCq25Prx_d4OqyL5cGfo5mYwsaUGb7DY=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,UgzjOFuNNXJlV3PnPrl4AaABAg,多謝你哋🤗辛苦晒💪🏻😘特別係為咗今集，竟然不惜重本去做多6張月票😱真係冇嘢好講🙇🏻‍♂️🫡,2 個月前,@willson_man,UC-8Anq6Aw3VBEpAtlbvsk6A,7,https://yt3.ggpht.com/B635W0r6FEu9njTuhA0jJRduxroPFZeOuHYogf-Jo769dA_Q6NHFEGavOALHJyz09Wq5WnQA=s176-c-k-c0x00ffffff-no-rj,True
探索最強康文署健身室 I 絕無僅有 - YouTube,UgwRsttOZjD755OQYrZ4AaABAg,大埔體育館 換入史密夫架之前. 係用BENCH + RACK(無SAFETY SUPPORT既) 連BARBELL 既. 當時我用過O黎練REAR SHRUG. 點知放返落架既時候有一邊放唔到. 拉傷左一邊助骨......所以我都幾鐘意佢地換左史密夫架. 起碼一條友練都安全O的.,2 個月前,@wongwilliam5427,UC24UqI-sphoAPMDvsLyD_GQ,9,https://yt3.ggpht.com/ytc/APkrFKZfBEUWhfdHG5io44FTys5rcrFj96thETolQg=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,Ugw8rnRZHRXBUV7zhgh4AaABAg,試Smith比阿伯問有冇玩開😂😂比阿伯笑細隻,2 個月前,@kl4224,UCgypV7ImAHZLznNmBBB3lyg,58,https://yt3.ggpht.com/_Qtl83yd860371nct0cbJ3mhBaxu8Avdf9HXTIK-X1V0FH8I3XMTCpJIUAIIu1J-Wi_KV3TR=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,UgwHkplR8SGTXw1xaql4AaABAg,下次大西北一定要去保榮路體育館，極大但極之浪費位置，如果可以用得盡擺位，一定揮低所有康文署Gym room 🎉,2 個月前,@Nick1977Lau,UC0Prmh1vd8kKbalMV9mcL0g,33,https://yt3.ggpht.com/ytc/APkrFKY4cSUDQIlyacwRTmopspCJck6RvTjhQBhNBg=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,UgwkljP5xBV_WZdJj0d4AaABAg,港灣道基本上過12點就唔駛去，因為12-2 附近office 人襯lunch time 操，之後就到附近街坊做，5-8放工又直程2班人打混戰，可以直入都算幸運。月票都要排長龍，如果要用時飛上網買定就最好。,2 個月前,@siyan200,UCSRl8RhuAVZjms7X_tBRlHw,11,https://yt3.ggpht.com/HQtTa15ORjLdI9dZF0W-bsaMKZfo9MU2aIopa8h1WYXKx_W9w35rOxp15-iw_tAbmSN8qInq=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,UgwAjz4e8M5GuvAA8E54AaABAg,大埔幾間康文署都算足料，但放假同夜晚都係好full同要排隊等位入 ，龍門架/史密夫輪街症咁😂,2 個月前,@wcw1343,UCDja4RW3gjT2hWP_0na71QQ,3,https://yt3.ggpht.com/ytc/APkrFKa8YzPAjB2kXiAtVdPpRKkMXeGiCbQmB3vFTqpxZ2q_mTMbH43EyFuxPT-Pc30Y=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,UgwL-IshqQst5h5yiet4AaABAg,"拍片唔易
要抽幾日拍
用心制作
支持👍
辛苦晒",2 個月前,@simonchan6323,UC-KbLzMl8gJjutaJU4fxXZA,0,https://yt3.ggpht.com/nBhMKJxA5I044lkaWcO80AohxJS6dLJtRlz6uv5xBrrEOQmqC9USkv7rDGWoPLEElaPYdKzmnWg=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,Ugzb09JDD9VYh4bzKaZ4AaABAg,鍾意呢個系列，特別係介紹器械個part,2 個月前,@DingusSquatfordJr.,UCoDaTgClCjN9ofiEb9lNvfw,3,https://yt3.ggpht.com/ytc/APkrFKYzRimce0GVcHh2wOcxQ4Ia5M3X8OFdo2QKcJrcQg=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,Ugw1EjnvIHfJ5qD5evd4AaABAg,大埔體育館陪伴左我健身生涯頭幾年 當年仲有大龍門架同埋cybex 機 絕對係最強康文gym d機應撚過宜家出面大場 絕對夠玩,2 個月前,@tonywu5c33,UCvJiHUJxYVCZDQ90LOOCAgw,0,https://yt3.ggpht.com/ytc/APkrFKZTHCdAdj9ic9NWfYA-cIHeLhlCONd9oSCJ-A=s176-c-k-c0x00ffffff-no-rj,True
